,Longitude,Latitude,avg,COUNTRY,SPECIES NAME,DBH-1,DBH-2,NFI,FF,BS
103,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
104,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
105,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
106,10.25,48.25,14.423809523809522,Austria,Abies alba,-9999,1,1,-9999,-9999
107,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
108,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
109,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
110,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
111,11.25,47.25,14.820833333333335,Austria,Abies alba,1,-9999,1,-9999,-9999
112,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
113,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
114,12.25,47.25,14.019047619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
115,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
116,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
117,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
118,15.25,48.25,15.206547619047619,Austria,Abies alba,1,1,1,-9999,-9999
119,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
120,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
121,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
122,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
123,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
124,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
125,16.25,48.25,16.19821428571429,Austria,Abies alba,1,-9999,1,-9999,-9999
126,13.25,48.25,15.326190476190474,Austria,Abies alba,1,1,1,-9999,-9999
127,13.25,48.25,15.326190476190474,Austria,Abies alba,1,1,1,-9999,-9999
128,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
129,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
130,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,-9999,-9999,1,1
